id,name,lat,lon,address,zipCode,websiteUrl,id_cat,cat
2916,Piscine Suzanne Berlioux (Les Halles),48.8623474,2.3458559,forum des Halles,75001,http://equipement.paris.fr/piscine-suzanne-berlioux-(les-halles)-2916,27,Swimming Pool
2918,Piscine Pontoise,48.849236,2.3515816,"19, rue de Pontoise",75005,http://equipement.paris.fr/piscine-pontoise-2918,27,Swimming Pool
2919,Piscine Saint-Germain,48.851669,2.335931,"12, rue Lobineau ",75006,http://equipement.paris.fr/piscine-saint-germain-2919,27,Swimming Pool
2920,Piscine Georges Drigny,48.881893,2.342184,"18, rue Bochart de Saron ",75009,http://equipement.paris.fr/piscine-georges-drigny-2920,27,Swimming Pool
2921,Piscine Paul Valeyre,48.8781484,2.3449489,"24, rue de Rochechouart",75009,http://equipement.paris.fr/piscine-paul-valeyre-2921,27,Swimming Pool
2923,Piscine Château-Landon,48.883221,2.363909,"31, rue du château-Landon ",75010,http://equipement.paris.fr/piscine-château-landon-2923,27,Swimming Pool
2924,Piscine Georges Rigal,48.856609,2.394056,"115, boulevard de Charonne ",75011,http://equipement.paris.fr/piscine-georges-rigal-2924,27,Swimming Pool
2925,Piscine de la Cour des Lions,48.860626,2.370507,"9, rue Alphonse Baudin ",75011,http://equipement.paris.fr/piscine-de-la-cour-des-lions-2925,27,Swimming Pool
2926,Piscine Jean Boiteux ex Reuilly,48.841927,2.389423,"13, rue Hénard ",75012,http://equipement.paris.fr/piscine-jean-boiteux-ex-reuilly-2926,27,Swimming Pool
2927,Piscine de la Butte aux Cailles,48.8274283,2.3524749,"5, place Paul Verlaine",75013,http://equipement.paris.fr/piscine-de-la-butte-aux-cailles-2927,27,Swimming Pool
2928,Piscine Château des Rentiers,48.830406,2.3619,"184, rue du Château des Rentiers ",75013,http://equipement.paris.fr/piscine-château-des-rentiers-2928,27,Swimming Pool
2929,Piscine Dunois,48.832973,2.366437,"70, rue Dunois ",75013,http://equipement.paris.fr/piscine-dunois-2929,27,Swimming Pool
2930,Piscine Joséphine-Baker,48.8338944,2.3775918,quai François Mauriac - Quai de la Gare,75013,http://equipement.paris.fr/piscine-joséphine-baker-2930,27,Swimming Pool
2931,Piscine Aspirant Dunand,48.831699,2.326708,"20, rue Saillard ",75014,http://equipement.paris.fr/piscine-aspirant-dunand-2931,27,Swimming Pool
